Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,"Enterococcus
 (colonies/100 mL)","Temperature
(°C)",pH ,Observations
2015-02-03,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,Route: 6: Arecibo – Vega Alta ,Re-sampling,4,8,28.10,Bacteriological Re-Sampling,The information provided is preliminary .
2015-02-03,RW-23,Balneario de Puerto Nuevo,Route: 6: Arecibo – Vega Alta ,Re-sampling,1,4,27.80,Bacteriological Re-Sampling,The information provided is preliminary .
2015-02-24,RW-15,Balneario de Añasco or Balneario Tres Hermanos,Route 5: Añasco - Aguadilla,Re-sampling,1,1,27.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-02-24,RW-5,Balneario de Rincón,Route 5: Añasco - Aguadilla,Re-sampling,4,16,27.30,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-02,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,Route 1: Dorado - Loíza,Routine,100,16,24.10,8.05/8.04,The information provided is preliminary .
2015-03-02,RW-19,Balneario Punta Salinas,Route 1: Dorado - Loíza,Routine,1,1,25.00,8.13,The information provided is preliminary .
2015-03-02,RW-20A,Balneario El Escambrón,Route 1: Dorado - Loíza,Routine,12,1,25.10,8.14,The information provided is preliminary .
2015-03-02,RW-21C,Balneario de Carolina,Route 1: Dorado - Loíza,Routine,1,1,25.70,8.15,The information provided is preliminary .
2015-03-02,RW-25A,Playa Sixto Escobar,Route 1: Dorado - Loíza,Routine,584,396,24.50,8.13,The information provided is preliminary .
2015-03-02,RW-26,Playita del Condado,Route 1: Dorado - Loíza,Routine,4,8,23.90,8.14,The information provided is preliminary .
2015-03-02,RW-27,Ocean Park,Route 1: Dorado - Loíza,Routine,4,1,24.70,8.13,The information provided is preliminary .
2015-03-02,RW-28,Playa El Alambique,Route 1: Dorado - Loíza,Routine,1,4,26.30,8.14/8.14,The information provided is preliminary .
2015-03-02,RW-29,Vacía Talega,Route 1: Dorado - Loíza,Routine,1,1,24.90,8.17,The information provided is preliminary .
2015-03-02,RW-1A,Balneario La Monserrate,Route 2: Arroyo - Luquillo,Routine,1,1,26.50,8.18,The information provided is preliminary .
2015-03-02,RW-2,Balneario Seven Seas,Route 2: Arroyo - Luquillo,Routine,1,1,26.00,8.3,The information provided is preliminary .
2015-03-02,RW-30,Playa Guayanés,Route 2: Arroyo - Luquillo,Routine,32,28,26.50,8.15,The information provided is preliminary .
2015-03-02,RW-31,Tropical Beach,Route 2: Arroyo - Luquillo,Routine,240,256,26.00,8.17/8.17,The information provided is preliminary .
2015-03-02,RW-32,Playa Azul,Route 2: Arroyo - Luquillo,Routine,1,1,25.80,8.22,The information provided is preliminary .
2015-03-02,RW-4,Balneario Punta Santiago,Route 2: Arroyo - Luquillo,Routine,1,1,26.10,8.19,The information provided is preliminary .
2015-03-02,RW-6,Balneario de Patillas,Route 2: Arroyo - Luquillo,Routine,28,8,25.30,8.12,The information provided is preliminary .
2015-03-02,RW-7,Balneario Punta Guilarte,Route 2: Arroyo - Luquillo,Routine,1,8,25.50,8.14/8.14,The information provided is preliminary .
2015-03-02,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,Route: 6: Arecibo – Vega Alta ,Routine,476,200,25.40,8.13,The information provided is preliminary .
2015-03-02,RW-23,Balneario de Puerto Nuevo,Route: 6: Arecibo – Vega Alta ,Routine,172,316,26.00,8.1,The information provided is preliminary .
2015-03-02,RW-38,Muelle de Arecibo,Route: 6: Arecibo – Vega Alta ,Routine,244,82,25.70,8.07,The information provided is preliminary .
2015-03-02,RW-39,Mar Chiquita,Route: 6: Arecibo – Vega Alta ,Routine,64,52,25.10,8.18/8.19,The information provided is preliminary .
2015-03-03,RW-10,Playa Santa,Route 3: Lajas - Salinas,Routine,1,120,26.00,7.56,The information provided is preliminary .
2015-03-03,RW-33,Playita Rosada,Route 3: Lajas - Salinas,Routine,4,4,25.30,7.80/7.81,The information provided is preliminary .
2015-03-03,RW-34,Playa del Hilton,Route 3: Lajas - Salinas,Routine,4,1,27.20,8.2,The information provided is preliminary .
2015-03-03,RW-35,Playa Jauca,Route 3: Lajas - Salinas,Routine,8,4,27.00,8.15,The information provided is preliminary .
2015-03-03,RW-36,Balneario de Salinas,Route 3: Lajas - Salinas,Routine,1,1,27.00,8,The information provided is preliminary .
2015-03-03,RW-9,Caña Gorda,Route 3: Lajas - Salinas,Routine,16,1,26.80,8.1,The information provided is preliminary .
2015-03-03,RW-12B,Playa el Combate,Route 4: Cabo Rojo,Routine,8,32,26.60,8.16/8.16,The information provided is preliminary .
2015-03-03,RW-13,Balneario de Boquerón,Route 4: Cabo Rojo,Routine,1,1,26.90,8.14,The information provided is preliminary .
2015-03-03,RW-14A,Playa Moja Casabe,Route 4: Cabo Rojo,Routine,40,60,26.30,8.14,The information provided is preliminary .
2015-03-03,RW-37,Villa Lamela,Route 4: Cabo Rojo,Routine,12,12,25.60,7.87,The information provided is preliminary .
2015-03-03,RW-8,Playa Buyé ,Route 4: Cabo Rojo,Routine,20,20,26.40,8.08/8.07,The information provided is preliminary .
2015-03-03,RW-15,Balneario de Añasco or Balneario Tres Hermanos,Route 5: Añasco - Aguadilla,Routine,12,1,25.90,8.16/8.16,The information provided is preliminary .
2015-03-03,RW-16,Balneario Crash Boat,Route 5: Añasco - Aguadilla,Routine,1,4,26.70,8.2,The information provided is preliminary .
2015-03-03,RW-22,Pico de Piedra,Route 5: Añasco - Aguadilla,Routine,12,4,25.40,8.23,The information provided is preliminary .
2015-03-03,RW-5,Balneario de Rincón,Route 5: Añasco - Aguadilla,Routine,12,1,25.80,8.19,The information provided is preliminary .
2015-03-09,RW-25A,Playa Sixto Escobar,Route 1: Dorado - Loíza,Re-sampling,1,1,27.30,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-31,Tropical Beach,Route 2: Arroyo - Luquillo,Re-sampling,20,98,27.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-10,Playa Santa,Route 3: Lajas - Salinas,Re-sampling,20,4,25.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-14A,Playa Moja Casabe,Route 4: Cabo Rojo,Re-sampling,4,4,25.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,Route: 6: Arecibo – Vega Alta ,Re-sampling,252,60,27.60,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-23,Balneario de Puerto Nuevo,Route: 6: Arecibo – Vega Alta ,Re-sampling,4,28,26.90,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-38,Muelle de Arecibo,Route: 6: Arecibo – Vega Alta ,Re-sampling,12,1,25.80,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-09,RW-39,Mar Chiquita,Route: 6: Arecibo – Vega Alta ,Re-sampling,1,4,26.40,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-16,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,Route 1: Dorado - Loíza,Routine,240,144,24.80,8.17,The information provided is preliminary .
2015-03-16,RW-19,Balneario Punta Salinas,Route 1: Dorado - Loíza,Routine,8,1,25.60,8.16,The information provided is preliminary .
2015-03-16,RW-20A,Balneario El Escambrón,Route 1: Dorado - Loíza,Routine,4,12,25.60,8.16/8.17,The information provided is preliminary .
2015-03-16,RW-21C,Balneario de Carolina,Route 1: Dorado - Loíza,Routine,1,4,25.90,8.16/8.16,The information provided is preliminary .
2015-03-16,RW-25A,Playa Sixto Escobar,Route 1: Dorado - Loíza,Routine,240,48,25.70,8.18,The information provided is preliminary .
2015-03-16,RW-26,Playita del Condado,Route 1: Dorado - Loíza,Routine,40,32,25.90,8.18,The information provided is preliminary .
2015-03-16,RW-27,Ocean Park,Route 1: Dorado - Loíza,Routine,240,140,25.10,8.19,The information provided is preliminary .
2015-03-16,RW-28,Playa El Alambique,Route 1: Dorado - Loíza,Routine,240,240,25.80,8.18,The information provided is preliminary .
2015-03-16,RW-29,Vacía Talega,Route 1: Dorado - Loíza,Routine,12,76,26.60,No Reported,The information provided is preliminary .
2015-03-16,RW-1A,Balneario La Monserrate,Route 2: Arroyo - Luquillo,Routine,8,4,26.90,8.15,The information provided is preliminary .
2015-03-16,RW-2,Balneario Seven Seas,Route 2: Arroyo - Luquillo,Routine,40,20,26.10,8.14,The information provided is preliminary .
2015-03-16,RW-30,Playa Guayanés,Route 2: Arroyo - Luquillo,Routine,1,24,26.20,8.18,The information provided is preliminary .
2015-03-16,RW-31,Tropical Beach,Route 2: Arroyo - Luquillo,Routine,1,12,26.40,8.19/8.19,The information provided is preliminary .
2015-03-16,RW-32,Playa Azul,Route 2: Arroyo - Luquillo,Routine,12,24,26.50,8.17,The information provided is preliminary .
2015-03-16,RW-4,Balneario Punta Santiago,Route 2: Arroyo - Luquillo,Routine,1,4,26.10,8.24,The information provided is preliminary .
2015-03-16,RW-6,Balneario de Patillas,Route 2: Arroyo - Luquillo,Routine,1,1,25.30,8.13,The information provided is preliminary .
2015-03-16,RW-7,Balneario Punta Guilarte,Route 2: Arroyo - Luquillo,Routine,8,28,25.50,8.19/8.19,The information provided is preliminary .
2015-03-16,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,Route: 6: Arecibo – Vega Alta ,Routine,60,184,57.10,8.19,The information provided is preliminary .
2015-03-16,RW-23,Balneario de Puerto Nuevo,Route: 6: Arecibo – Vega Alta ,Routine,240,176,26.90,8.16,The information provided is preliminary .
2015-03-16,RW-38,Muelle de Arecibo,Route: 6: Arecibo – Vega Alta ,Routine,240,234,26.00,8.10/8.10,The information provided is preliminary .
2015-03-16,RW-39,Mar Chiquita,Route: 6: Arecibo – Vega Alta ,Routine,4,1,26.30,8.17,The information provided is preliminary .
2015-03-17,RW-10,Playa Santa,Route 3: Lajas - Salinas,Routine,8,20,26.60,8.01,The information provided is preliminary .
2015-03-17,RW-33,Playita Rosada,Route 3: Lajas - Salinas,Routine,20,20,26.10,7.79/7.79,The information provided is preliminary .
2015-03-17,RW-34,Playa del Hilton,Route 3: Lajas - Salinas,Routine,4,100,28.10,8.1,The information provided is preliminary .
2015-03-17,RW-35,Playa Jauca,Route 3: Lajas - Salinas,Routine,12,12,28.70,8.16,The information provided is preliminary .
2015-03-17,RW-36,Balneario de Salinas,Route 3: Lajas - Salinas,Routine,20,1,27.60,8.15,The information provided is preliminary .
2015-03-17,RW-9,Caña Gorda,Route 3: Lajas - Salinas,Routine,28,1,27.80,8.1,The information provided is preliminary .
2015-03-17,RW-12B,Playa el Combate,Route 4: Cabo Rojo,Routine,12,60,26.80,8.16/8.16,The information provided is preliminary .
2015-03-17,RW-13,Balneario de Boquerón,Route 4: Cabo Rojo,Routine,1,1,22.50,8.03,The information provided is preliminary .
2015-03-17,RW-14A,Playa Moja Casabe,Route 4: Cabo Rojo,Routine,4,16,26.90,8.1,The information provided is preliminary .
2015-03-17,RW-37,Villa Lamela,Route 4: Cabo Rojo,Routine,16,16,26.10,7.91,The information provided is preliminary .
2015-03-17,RW-8,Playa Buyé ,Route 4: Cabo Rojo,Routine,1,1,27.90,7.28,The information provided is preliminary .
2015-03-17,RW-15,Balneario de Añasco or Balneario Tres Hermanos,Route 5: Añasco - Aguadilla,Routine,1,1,26.40,8.18/8.18,The information provided is preliminary .
2015-03-17,RW-16,Balneario Crash Boat,Route 5: Añasco - Aguadilla,Routine,1,1,27.60,8.16,The information provided is preliminary .
2015-03-17,RW-22,Pico de Piedra,Route 5: Añasco - Aguadilla,Routine,1,1,26.80,8.19,The information provided is preliminary .
2015-03-17,RW-5,Balneario de Rincón,Route 5: Añasco - Aguadilla,Routine,1,1,26.60,8.19,The information provided is preliminary .
2015-03-24,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,Route 1: Dorado - Loíza,Re-sampling,20,60,26.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-25A,Playa Sixto Escobar,Route 1: Dorado - Loíza,Re-sampling,1,4,25.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-27,Ocean Park,Route 1: Dorado - Loíza,Re-sampling,1,4,25.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-28,Playa El Alambique,Route 1: Dorado - Loíza,Re-sampling,12,16,24.50,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-29,Vacía Talega,Route 1: Dorado - Loíza,Re-sampling,32,4,25.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-34,Playa del Hilton,Route 3: Lajas - Salinas,Re-sampling,1,1,29.40,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-12B,Playa el Combate,Route 4: Cabo Rojo,Re-sampling,1,1,29.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,Route: 6: Arecibo – Vega Alta ,Re-sampling,12,16,26.90,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-23,Balneario de Puerto Nuevo,Route: 6: Arecibo – Vega Alta ,Re-sampling,8,32,26.50,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-24,RW-38,Muelle de Arecibo,Route: 6: Arecibo – Vega Alta ,Re-sampling,264,144,25.20,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-30,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,Route 1: Dorado - Loíza,Re-sampling,44,20,26.50,Bacteriological Re-Sampling,The information provided is preliminary .
2015-03-30,RW-38,Muelle de Arecibo,Route: 6: Arecibo – Vega Alta ,Re-sampling,14,1,26.00,Bacteriological Re-Sampling,The information provided is preliminary .
2015-04-06,RW-10,Playa Santa,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,10,26.00,8.14,The information provided is preliminary .
2015-04-06,RW-33,Playita Rosada,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,171,26.20,8.05/8.05,The information provided is preliminary .
2015-04-06,RW-34,Playa del Hilton,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,1,27.00,8.2,The information provided is preliminary .
2015-04-06,RW-35,Playa Jauca,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,10,27.50,8.27,The information provided is preliminary .
2015-04-06,RW-36,Balneario de Salinas,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,1,27.70,8.2,The information provided is preliminary .
2015-04-06,RW-9,Caña Gorda,Route 3: Lajas - Salinas,Routine,Parameter eliminated from the Program,10,26.10,8.02,The information provided is preliminary .
2015-04-06,RW-12B,Playa el Combate,Route 4: Cabo Rojo,Routine,Parameter eliminated from the Program,10,26.00,8.20/8.20,The information provided is preliminary .
2015-04-06,RW-13,Balneario de Boquerón,Route 4: Cabo Rojo,Routine,Parameter eliminated from the Program,1,28.00,8.17,The information provided is preliminary .
2015-04-06,RW-14A,Playa Moja Casabe,Route 4: Cabo Rojo,Routine,Parameter eliminated from the Program,10,26.90,8.23,The information provided is preliminary .
2015-04-06,RW-37,Villa Lamela,Route 4: Cabo Rojo,Routine,Parameter eliminated from the Program,1,28.30,8.1,The information provided is preliminary .
2015-04-06,RW-8,Playa Buyé ,Route 4: Cabo Rojo,Routine,Parameter eliminated from the Program,10,28.80,8.21,The information provided is preliminary .
2015-04-06,RW-15,Balneario de Añasco or Balneario Tres Hermanos,Route 5: Añasco - Aguadilla,Routine,Parameter eliminated from the Program,20,27.50,8.07/8.07,The information provided is preliminary .
2015-04-06,RW-16,Balneario Crash Boat,Route 5: Añasco - Aguadilla,Routine,Parameter eliminated from the Program,1,26.30,8.08,The information provided is preliminary .
2015-04-06,RW-22,Pico de Piedra,Route 5: Añasco - Aguadilla,Routine,Parameter eliminated from the Program,201,26.60,8.07,The information provided is preliminary .
2015-04-06,RW-5,Balneario de Rincón,Route 5: Añasco - Aguadilla,Routine,Parameter eliminated from the Program,1,27.20,8.04,The information provided is preliminary .
2015-04-07,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,1,26.40,7.89,The information provided is preliminary .
2015-04-07,RW-19,Balneario Punta Salinas,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,1,26.80,8.02,The information provided is preliminary .
2015-04-07,RW-20A,Balneario El Escambrón,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,231,27.40,8.11/8.11,The information provided is preliminary .
2015-04-07,RW-21C,Balneario de Carolina,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,41,29.10,8.10/8.10,The information provided is preliminary .
2015-04-07,RW-25A,Playa Sixto Escobar,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,1,27.10,8.11,The information provided is preliminary .
2015-04-07,RW-26,Playita del Condado,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,10,28.00,8.17,The information provided is preliminary .
2015-04-07,RW-27,Ocean Park,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,1,27.70,8.15,The information provided is preliminary .
2015-04-07,RW-28,Playa El Alambique,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,10,27.80,8.14,The information provided is preliminary .
2015-04-07,RW-29,Vacía Talega,Route 1: Dorado - Loíza,Routine,Parameter eliminated from the Program,1,27.60,8.19,The information provided is preliminary .
2015-04-07,RW-1A,Balneario La Monserrate,Route 2: Arroyo - Luquillo,Routine,Parameter eliminated from the Program,10,27.20,8.08,The information provided is preliminary .
2015-04-07,RW-2,Balneario Seven Seas,Route 2: Arroyo - Luquillo,Routine,Parameter eliminated from the Program,1,26.30,8.20/8.18,The information provided is preliminary .
2015-04-07,RW-30,Playa Guayanés,Route 2: Arroyo - Luquillo,Routine,Parameter eliminated from the Program,10,25.70,8.03,The information provided is preliminary .
